Gene,Non-unique Gene name,Annotation,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
group_3816,,HTH cro/C1-type domain-containing protein,ONMMKP_02873,IKCLMC_00557,PKJKAM_01594,ODDLKH_04350,,AJBGEP_04100,HFCAGB_04148,GEGEGB_03570,BEJGEH_03949
group_3815,,Phage-related protein;Cytoplasmic protein,ONMMKP_02874,IKCLMC_00558,PKJKAM_01595,3_refound_37_pseudo,,AJBGEP_04099,HFCAGB_04147,GEGEGB_03571,8_refound_97_pseudo
hyi~~~gip,hyi;gip,hydroxypyruvate isomerase Hyi;hydroxypyruvate isomerase Gip,ONMMKP_01633,IKCLMC_02305,PKJKAM_03235,ODDLKH_01007,,AJBGEP_00541,HFCAGB_00546,GEGEGB_02460,BEJGEH_00532
group_3769,,Serine/threonine-protein phosphatase 2,ONMMKP_03954,,PKJKAM_02489,ODDLKH_03326,LNHIMF_02938,AJBGEP_03064,HFCAGB_03110,GEGEGB_02945,BEJGEH_02895
group_3719,,Oxaloacetate decarboxylase alpha subunit,ONMMKP_02122,IKCLMC_03172,PKJKAM_02066,ODDLKH_00532,LNHIMF_00057,AJBGEP_00057,HFCAGB_00059,,BEJGEH_00058
group_3708,,DUF1367 domain-containing protein,ONMMKP_01119,IKCLMC_00299,PKJKAM_00282,ODDLKH_01668,LNHIMF_02184,AJBGEP_01015,HFCAGB_01067,GEGEGB_02009,
group_3591,,his operon leader peptide,ONMMKP_04758,IKCLMC_01956,PKJKAM_04099,ODDLKH_02564,LNHIMF_02208,AJBGEP_02231,HFCAGB_02330,,BEJGEH_02090
group_3590,,Type I toxin-antitoxin system Ibs family toxin,ONMMKP_04711,IKCLMC_01897,PKJKAM_04020,ODDLKH_02621,4_refound_44,5_refound_54,,7_refound_79,8_refound_93
ypfM,ypfM,Protein YpfM,ONMMKP_04350,IKCLMC_01322,PKJKAM_02802,ODDLKH_02986,LNHIMF_02612,AJBGEP_02654,HFCAGB_02752,,BEJGEH_02507
group_3491,,Inner membrane protein,ONMMKP_00173,IKCLMC_04314,PKJKAM_04318,ODDLKH_02350,LNHIMF_01931,AJBGEP_01956,HFCAGB_01411,GEGEGB_01076,
ghoT,ghoT,Toxin GhoT,ONMMKP_00449,IKCLMC_04596,PKJKAM_04599,ODDLKH_02080,LNHIMF_01655,AJBGEP_01682,HFCAGB_01687,,BEJGEH_01479
group_3197,,Antitoxin of the RelE-RelB toxin-antitoxin system,ONMMKP_02338,IKCLMC_03399,PKJKAM_02272,ODDLKH_00318,LNHIMF_04516,AJBGEP_04646,HFCAGB_04657,GEGEGB_04719,
frmR,frmR,Transcriptional repressor FrmR,ONMMKP_00413,IKCLMC_04564,PKJKAM_04567,ODDLKH_02112,LNHIMF_01686,AJBGEP_01714,HFCAGB_01655,,BEJGEH_01444
group_3058,,Small ribosomal subunit protein uS19,ONMMKP_03395,IKCLMC_00145,,ODDLKH_03873,LNHIMF_03481,AJBGEP_03609,HFCAGB_03665,GEGEGB_04292,BEJGEH_03459
group_3039,,Galactitol-specific PTS system EIIB component,ONMMKP_03573,IKCLMC_03612,PKJKAM_01787,ODDLKH_03689,LNHIMF_03301,,HFCAGB_03480,GEGEGB_03342,BEJGEH_03276
group_3012,,HTH cro/C1-type domain-containing protein,ONMMKP_02749,IKCLMC_00703,PKJKAM_01469,ODDLKH_04481,LNHIMF_04076,AJBGEP_04231,HFCAGB_04276,,BEJGEH_04084
group_3011,,YdgH/BhsA/McbA-like domain-containing protein,ONMMKP_02094,IKCLMC_03144,PKJKAM_02038,ODDLKH_00561,LNHIMF_00086,AJBGEP_00088,,GEGEGB_00088,BEJGEH_00087
group_2993,,Ferredoxin-like protein,ONMMKP_00700,IKCLMC_04845,PKJKAM_00884,ODDLKH_01827,LNHIMF_01398,AJBGEP_01430,HFCAGB_01931,,BEJGEH_01736
group_2918,,Periplasmic protein,ONMMKP_02180,IKCLMC_03231,PKJKAM_02126,ODDLKH_00473,LNHIMF_04650,AJBGEP_04801,HFCAGB_04824,,BEJGEH_04690
group_2849,,Large ribosomal subunit protein uL22,ONMMKP_03396,IKCLMC_00146,,ODDLKH_03872,LNHIMF_03480,AJBGEP_03608,HFCAGB_03664,GEGEGB_04293,BEJGEH_03458
group_2816,hypA,Hydrogenase maturation factor HypA,ONMMKP_00518,IKCLMC_04661,PKJKAM_04667,ODDLKH_02011,LNHIMF_01583,AJBGEP_01613,HFCAGB_01744,,BEJGEH_01553
group_2762,,DUF1870 domain-containing protein,ONMMKP_00689,IKCLMC_04834,PKJKAM_00873,ODDLKH_01838,LNHIMF_01409,AJBGEP_01441,HFCAGB_01920,,BEJGEH_01725
group_2737,,hypothetical protein,ONMMKP_01575,IKCLMC_02419,PKJKAM_03122,ODDLKH_01066,,AJBGEP_00601,HFCAGB_00665,GEGEGB_02408,BEJGEH_00586
ybaN,ybaN,Inner membrane protein YbaN,ONMMKP_01672,IKCLMC_02266,PKJKAM_03274,ODDLKH_00968,LNHIMF_00507,AJBGEP_00502,HFCAGB_00507,GEGEGB_02501,
secE,secE,Protein translocase subunit SecE,ONMMKP_02637,IKCLMC_00283,PKJKAM_00035,,LNHIMF_04184,AJBGEP_04346,HFCAGB_04395,GEGEGB_03661,BEJGEH_04197
group_2552,,Large ribosomal subunit protein uL11,ONMMKP_02635,IKCLMC_00281,,ODDLKH_00007,LNHIMF_04186,AJBGEP_04348,HFCAGB_04397,GEGEGB_03659,BEJGEH_04199
group_2522,,STM0539 family protein,ONMMKP_01612,IKCLMC_02326,PKJKAM_03214,ODDLKH_01028,LNHIMF_00548,AJBGEP_00562,HFCAGB_00567,,BEJGEH_00553
group_2472,,HIT domain-containing protein,ONMMKP_03663,IKCLMC_03708,PKJKAM_01922,ODDLKH_03594,LNHIMF_03210,AJBGEP_03334,HFCAGB_03390,GEGEGB_03239,
group_2449,,Leucine-responsive regulatory protein,ONMMKP_01143,IKCLMC_01589,PKJKAM_00144,ODDLKH_01456,,AJBGEP_00994,HFCAGB_01045,GEGEGB_02036,BEJGEH_00958
golS,golS,Au(I) sensor transcriptional regulator GolS,ONMMKP_01802,IKCLMC_02135,PKJKAM_03404,ODDLKH_00839,LNHIMF_00381,AJBGEP_00373,HFCAGB_00373,,BEJGEH_00362
group_2236,,Thermosensitive gluconokinase,ONMMKP_02303,IKCLMC_03365,PKJKAM_02237,ODDLKH_00353,LNHIMF_04551,AJBGEP_04683,HFCAGB_04693,,BEJGEH_04550
nusG,nusG,Transcription termination/antitermination protein NusG,ONMMKP_02636,IKCLMC_00282,PKJKAM_00034,,LNHIMF_04185,AJBGEP_04347,HFCAGB_04396,GEGEGB_03660,BEJGEH_04198
group_2151,,4Fe-4S ferredoxin-type domain-containing protein,ONMMKP_01540,IKCLMC_02454,PKJKAM_03087,ODDLKH_01101,LNHIMF_00755,,HFCAGB_00702,GEGEGB_02370,BEJGEH_00621
group_1996,,Inner membrane protein,ONMMKP_04599,IKCLMC_01787,PKJKAM_03051,ODDLKH_02723,,AJBGEP_02389,HFCAGB_02491,GEGEGB_00672,BEJGEH_02260
group_1897,,Formate dehydrogenase nitrate-inducible cytochrome b556(Fdn) subunit,ONMMKP_00477,IKCLMC_04624,PKJKAM_04627,ODDLKH_02052,LNHIMF_01627,AJBGEP_01654,HFCAGB_01715,,BEJGEH_01510
group_1887,,putative acrEF/envCD operon repressor,ONMMKP_03443,IKCLMC_03480,PKJKAM_01654,ODDLKH_03825,LNHIMF_03433,AJBGEP_03561,HFCAGB_03616,,BEJGEH_03411
group_1843,,N-acylglucosamine-6-phosphate 2-epimerase,ONMMKP_01007,IKCLMC_00652,PKJKAM_00632,ODDLKH_01532,LNHIMF_01161,AJBGEP_01128,HFCAGB_01177,GEGEGB_01888,
group_1842,,Respiratory nitrate reductase 2 gamma chain,ONMMKP_00465,IKCLMC_04612,PKJKAM_04615,ODDLKH_02064,LNHIMF_01639,AJBGEP_01666,HFCAGB_01703,,BEJGEH_01495
stiB,stiB,fimbrial biogenesis chaperone StiB,ONMMKP_01992,IKCLMC_03043,PKJKAM_00756,ODDLKH_00659,LNHIMF_00183,AJBGEP_00187,HFCAGB_00186,,BEJGEH_00196
group_1659,,3-dehydroquinate dehydratase,ONMMKP_00693,IKCLMC_04838,PKJKAM_00877,ODDLKH_01834,LNHIMF_01405,AJBGEP_01437,HFCAGB_01924,,BEJGEH_01729
group_1657,,Outer membrane/exported protein,,IKCLMC_03193,PKJKAM_02087,ODDLKH_00511,LNHIMF_00036,AJBGEP_00036,HFCAGB_00037,GEGEGB_00039,BEJGEH_00037
group_1650,,Short-chain alcohol dehydrogenase,ONMMKP_02305,IKCLMC_03367,PKJKAM_02239,ODDLKH_00351,LNHIMF_04549,AJBGEP_04681,HFCAGB_04691,,BEJGEH_04548
group_1647,fixA,Protein FixA,ONMMKP_00697,IKCLMC_04842,PKJKAM_00881,ODDLKH_01830,LNHIMF_01401,AJBGEP_01433,HFCAGB_01928,,BEJGEH_01733
group_1632,,glucose-1-phosphate cytidylyltransferase,,IKCLMC_01931,PKJKAM_04074,ODDLKH_02586,LNHIMF_02234,AJBGEP_02253,HFCAGB_02353,GEGEGB_00825,BEJGEH_02112
group_1605,,(S)-ureidoglycine aminohydrolase,ONMMKP_01625,IKCLMC_02313,PKJKAM_03227,ODDLKH_01015,,AJBGEP_00549,HFCAGB_00554,GEGEGB_02451,BEJGEH_00540
allH,allH,Oxamate carbamoyltransferase subunit AllH,ONMMKP_01620,IKCLMC_02318,PKJKAM_03222,ODDLKH_01020,,AJBGEP_00554,HFCAGB_00559,GEGEGB_02446,BEJGEH_00545
allR,allR,HTH-type transcriptional repressor AllR,ONMMKP_01635,IKCLMC_02303,PKJKAM_03237,ODDLKH_01005,,AJBGEP_00539,HFCAGB_00544,GEGEGB_02462,BEJGEH_00530
group_1525,,DUF2145 domain-containing protein,ONMMKP_01613,IKCLMC_02325,PKJKAM_03215,ODDLKH_01027,LNHIMF_00547,AJBGEP_00561,HFCAGB_00566,,BEJGEH_00552
group_1496,,Fructoselysine kinase,ONMMKP_03238,IKCLMC_02808,PKJKAM_03780,ODDLKH_04040,LNHIMF_03635,AJBGEP_03779,HFCAGB_03835,,BEJGEH_03631
group_1465,,putative endonuclease 4,ONMMKP_04621,IKCLMC_01809,,ODDLKH_02701,LNHIMF_02347,AJBGEP_02367,HFCAGB_02470,GEGEGB_00693,BEJGEH_02238
group_1436,,Quinate/shikimate dehydrogenase,ONMMKP_00692,IKCLMC_04837,PKJKAM_00876,ODDLKH_01835,LNHIMF_01406,AJBGEP_01438,HFCAGB_01923,,BEJGEH_01728
glxR,glxR,2-hydoxy-3-oxopropionate reductase GlxR,ONMMKP_01632,IKCLMC_02306,PKJKAM_03234,ODDLKH_01008,,AJBGEP_00542,HFCAGB_00547,GEGEGB_02459,BEJGEH_00533
group_1392,,Uncharacterized HTH-type transcriptional regulator HI_0143,ONMMKP_01010,IKCLMC_00649,PKJKAM_00636,ODDLKH_01529,LNHIMF_01158,AJBGEP_01125,HFCAGB_01174,GEGEGB_01892,
yddG,yddG,aromatic amino acid efflux DMT transporter YddG,ONMMKP_00474,IKCLMC_04621,PKJKAM_04624,ODDLKH_02055,LNHIMF_01630,AJBGEP_01657,HFCAGB_01712,,BEJGEH_01507
group_1385,,Formate dehydrogenase iron-sulfur subunit,ONMMKP_00476,IKCLMC_04623,PKJKAM_04626,ODDLKH_02053,LNHIMF_01628,AJBGEP_01655,HFCAGB_01714,,BEJGEH_01509
group_1366,,Carbamate kinase,ONMMKP_01619,IKCLMC_02319,PKJKAM_03221,ODDLKH_01021,,AJBGEP_00555,HFCAGB_00560,GEGEGB_02445,BEJGEH_00546
group_1364,,Hydrolase or acyltransferase,ONMMKP_00669,IKCLMC_04815,PKJKAM_00853,ODDLKH_01857,LNHIMF_01428,AJBGEP_01460,HFCAGB_01901,,BEJGEH_01706
group_1354,,dTDP-4-dehydrorhamnose reductase,,IKCLMC_01927,PKJKAM_04070,ODDLKH_02590,LNHIMF_02238,AJBGEP_02257,HFCAGB_02357,GEGEGB_00821,BEJGEH_02116
group_1282,,DNA-binding transcriptional regulator,ONMMKP_00416,IKCLMC_04567,PKJKAM_04570,ODDLKH_02109,LNHIMF_01683,AJBGEP_01711,HFCAGB_01658,,BEJGEH_01447
allS,allS,HTH-type transcriptional activator AllS,ONMMKP_01637,IKCLMC_02301,PKJKAM_03239,ODDLKH_01003,,AJBGEP_00537,HFCAGB_00542,GEGEGB_02465,BEJGEH_00528
ydiR,ydiR,Putative electron transfer flavoprotein subunit YdiR,ONMMKP_00698,IKCLMC_04843,PKJKAM_00882,ODDLKH_01829,LNHIMF_01400,AJBGEP_01432,HFCAGB_01929,,BEJGEH_01734
group_1148,,Transcriptional regulator,ONMMKP_00490,IKCLMC_04637,PKJKAM_04640,ODDLKH_02039,LNHIMF_01612,AJBGEP_01641,HFCAGB_01728,,BEJGEH_01523
