#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_48	208584	208895	+	PKJKAM_03290	11.4	10.3	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_48	294809	295129	-	PKJKAM_03374	11.6	9.5	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_48	327557	329515	-	PKJKAM_03401	73.3	5.4	PF01555.25|N6_N4_Mtase, PF18273.6|T3RM_EcoP15I_C	PFAM:PF01555.25, PFAM:PF18273.6
contig_48	360205	360819	-	PKJKAM_03429	22.7	9.4		
contig_48	360816	361445	-	PKJKAM_03430	22.5	6.4		
contig_48	362226	362354	-	PKJKAM_03432	4.2	9.7		
contig_48	362958	363359	-	PKJKAM_03435	15.0	6.9		
contig_48	363372	363641	-	PKJKAM_03436	9.9	10.5	PF13356.12|Arm-DNA-bind_3	PFAM:PF13356.12
contig_48	391234	391512	-	PKJKAM_03461	11.0	9.5	PF13683.12|rve_3	PFAM:PF13683.12
contig_48	392964	393395	-	PKJKAM_03465	16.7	5.7		
contig_48	393550	393849	-	PKJKAM_03466	11.6	7.7		SO:0001217, UniRef:UniRef50_A0A3R0S9T3
contig_48	396664	396966	+	PKJKAM_03471	11.4	9.7		
contig_48	397167	397673	-	PKJKAM_03472	19.5	4.5		SO:0001217, UniRef:UniRef50_A0A3V2W8Q6
contig_48	397675	398871	-	PKJKAM_03473	45.0	7.2	PF03527.20|RHS, PF05593.20|RHS_repeat	PFAM:PF03527.20, PFAM:PF05593.20
contig_48	419303	419635	-	PKJKAM_03491	12.8	5.9	PF16695.10|Tai4	PFAM:PF16695.10
contig_49	59679	60512	-	PKJKAM_03577	29.2	9.7	PF00892.27|EamA	PFAM:PF00892.27
contig_49	105831	105962	-	PKJKAM_03622	4.9	5.5		
contig_49	152403	152522	+	PKJKAM_03666	4.7	8.0		
contig_49	249721	249912	-	PKJKAM_03756	7.3	11.0		
contig_49	251725	251928	+	PKJKAM_03758	7.6	4.7		
contig_49	251929	252483	+	PKJKAM_03759	20.1	5.0	PF06564.18|CBP_BcsQ	PFAM:PF06564.18
contig_49	309315	309650	+	PKJKAM_03803	12.6	6.9	PF01206.22|TusA	PFAM:PF01206.22
contig_49	327855	328223	+	PKJKAM_03822	13.6	6.1		
contig_49	336815	337786	-	PKJKAM_03831	34.4	9.3		
contig_50	49680	50147	+	PKJKAM_03985	17.7	9.2	PF07308.18|DUF1456	PFAM:PF07308.18, SO:0001217, UniRef:UniRef50_A0A0H2V0J0
contig_50	89198	89395	-	PKJKAM_04018	7.3	9.4		
contig_50	97293	97442	+	PKJKAM_04030	5.6	7.9		
contig_50	97693	97938	+	PKJKAM_04031	9.3	5.6		SO:0001217, UniRef:UniRef50_A0A075MCE2
contig_50	97958	99175	+	PKJKAM_04032	44.9	7.7		
contig_50	108801	109562	-	PKJKAM_04041	28.0	6.4		
contig_50	124085	124573	+	PKJKAM_04052	17.6	8.7	PF00132.30|Hexapep	PFAM:PF00132.30
contig_50	233304	233477	-	PKJKAM_04163	6.6	4.9		
contig_50	237985	238533	-	PKJKAM_04166	20.2	10.1	PF12834.13|Phage_int_SAM_2, PF12835.12|Integrase_1	PFAM:PF12834.13, PFAM:PF12835.12
contig_50	238552	238683	-	PKJKAM_04167	4.9	10.4	PF12834.13|Phage_int_SAM_2	PFAM:PF12834.13
contig_50	239158	239682	-	PKJKAM_04169	18.4	4.5		
contig_50	240332	240547	+	PKJKAM_04171	8.1	10.2		
contig_50	252334	252519	+	PKJKAM_04187	7.0	5.8		
contig_50	261181	262404	-	PKJKAM_04201	42.0	4.9	PF02120.21|Flg_hook	PFAM:PF02120.21
contig_50	264236	264943	-	PKJKAM_04204	25.8	4.6		
contig_50	272538	272906	-	PKJKAM_04213	13.7	5.1		
contig_50	273328	274731	-	PKJKAM_04215	49.8	5.3	PF07196.18|Flagellin_IN	PFAM:PF07196.18
contig_50	288367	288651	+	PKJKAM_04232	10.6	4.9		
contig_50	291822	293090	-	PKJKAM_04237	44.8	9.6	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_50	294873	295283	+	PKJKAM_04241	14.6	6.0		
contig_50	330115	331611	+	PKJKAM_04276	56.0	6.7		
contig_50	337853	339172	+	PKJKAM_04284	49.0	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_50	348719	349009	+	PKJKAM_04292	10.7	5.0		
contig_50	356220	356348	+	PKJKAM_04304	4.9	5.9		
contig_50	356333	356602	-	PKJKAM_04305	10.1	9.3		
contig_50	357931	358161	+	PKJKAM_04308	8.3	10.0		
contig_50	360527	362131	+	PKJKAM_04313	56.0	5.2	PF01661.27|Macro, PF07484.17|Collar	PFAM:PF01661.27, PFAM:PF07484.17
contig_50	362344	362580	+	PKJKAM_04314	8.7	6.3		
contig_50	364150	364272	+	PKJKAM_04316	4.6	6.7		
contig_50	368352	368462	+	PKJKAM_04322	4.2	9.7		
contig_50	371275	371739	-	PKJKAM_04325	17.4	5.4	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_50	371742	371996	-	PKJKAM_04326	9.6	6.9		
contig_50	377654	377827	+	PKJKAM_04330	6.3	8.9		
contig_50	378090	378566	-	PKJKAM_04331	17.5	9.6		
contig_50	394135	394242	+	PKJKAM_04347	4.2	9.6		SO:0001217, UniRef:UniRef50_A0A455RYX3
contig_50	395249	395488	-	PKJKAM_04349	8.4	9.6		
contig_50	507166	507348	-	PKJKAM_04460	6.2	10.0		
contig_50	523070	523222	-	PKJKAM_04475	5.7	9.4		
contig_50	534088	534258	-	PKJKAM_04488	6.0	4.3		
contig_50	536162	536359	-	PKJKAM_04490	7.4	5.1		
contig_50	568796	569641	+	PKJKAM_04522	29.6	5.5		
contig_50	573311	573649	-	PKJKAM_04526	13.1	5.0		
contig_50	591049	591315	+	PKJKAM_04544	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_50	604377	604472	+	PKJKAM_04557	3.4	5.9		SO:0001217, UniRef:UniRef50_A0A3S4GLI1
contig_50	612032	612448	+	PKJKAM_04565	16.0	6.7		
contig_50	639769	640389	-	PKJKAM_04593	23.1	5.2		
contig_50	640386	640559	-	PKJKAM_04594	6.9	10.0		
contig_50	701033	701251	+	PKJKAM_04641	8.7	9.5		
contig_50	703231	703473	+	PKJKAM_04645	9.5	10.9		SO:0001217, UniRef:UniRef50_A0A5Y0LFH2
contig_50	720747	721157	+	PKJKAM_04664	15.2	5.8		
contig_50	725456	725983	+	PKJKAM_04670	19.2	9.2	PF08332.16|CaMKII_AD, PF11533.15|AtzH-like, PF13474.12|SnoaL_3, PF13577.12|SnoaL_4, PF14534.12|DUF4440	PFAM:PF08332.16, PFAM:PF11533.15, PFAM:PF13474.12, PFAM:PF13577.12, PFAM:PF14534.12
contig_50	736972	737067	+	PKJKAM_04683	3.5	5.4		
contig_50	738880	739062	-	PKJKAM_04687	6.1	9.9		
contig_50	741587	741877	+	PKJKAM_04689	10.4	6.3	PF00106.31|adh_short, PF13561.12|adh_short_C2	PFAM:PF00106.31, PFAM:PF13561.12
contig_50	741922	742332	+	PKJKAM_04690	14.7	6.0	PF00106.31|adh_short, PF13561.12|adh_short_C2	PFAM:PF00106.31, PFAM:PF13561.12
contig_50	759904	760476	+	PKJKAM_04708	21.8	9.6		
contig_50	760486	760806	+	PKJKAM_04709	11.6	4.5		
contig_50	775966	776388	+	PKJKAM_04724	14.9	5.1	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
