#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_24	37	912	+	IKCLMC_00036	29.9	4.3	PF16168.11|AIDA	PFAM:PF16168.11
contig_25	744	914	-	IKCLMC_00039	6.2	6.0	PF18317.6|SDH_C	PFAM:PF18317.6
contig_26	2	208	-	IKCLMC_00040	7.4	6.0	PF24827.1|AstE_AspA_cat	PFAM:PF24827.1
contig_27	2	220	-	IKCLMC_00042	8.4	9.6		
contig_27	710	976	+	IKCLMC_00044	10.0	9.4	PF05231.19|MASE1	PFAM:PF05231.19
contig_28	1	996	+	IKCLMC_00045	35.8	5.6	PF00560.39|LRR_1, PF12799.13|LRR_4, PF13855.12|LRR_8	PFAM:PF00560.39, PFAM:PF12799.13, PFAM:PF13855.12
contig_29	78	239	+	IKCLMC_00046	6.4	4.3		
contig_29	883	1020	+	IKCLMC_00048	5.3	10.0		SO:0001217, UniRef:UniRef50_A0A730YMT5
contig_31	1	1053	+	IKCLMC_00050	39.2	4.7	PF17854.6|FtsK_alpha	PFAM:PF17854.6
contig_32	768	1076	+	IKCLMC_00052	11.7	5.9		
contig_33	2	181	+	IKCLMC_00053	6.5	4.4		
contig_33	335	553	+	IKCLMC_00055	7.8	8.0		SO:0001217, UniRef:UniRef50_A0A5U3I4D7
contig_34	561	1160	+	IKCLMC_00058	21.3	5.0	PF07484.17|Collar	PFAM:PF07484.17
contig_35	2	328	+	IKCLMC_00059	12.6	10.3		
contig_37	1	867	-	IKCLMC_00061	30.3	5.4	PF07484.17|Collar	PFAM:PF07484.17
contig_40	152	676	+	IKCLMC_00069	18.3	4.5		
contig_40	6357	6530	+	IKCLMC_00074	6.6	4.9		
contig_41	7406	7792	+	IKCLMC_00084	13.3	5.2		
contig_42	16033	16638	-	IKCLMC_00110	22.8	11.8		
contig_43	83	493	+	IKCLMC_00113	14.9	5.0		
contig_43	536	775	+	IKCLMC_00114	8.7	10.4		
contig_45	2	844	-	IKCLMC_00183	29.7	5.6		
contig_45	1614	1865	+	IKCLMC_00185	9.0	9.6		
contig_45	8179	8472	+	IKCLMC_00191	10.4	4.1		SO:0001217, UniRef:UniRef50_A0A5Y3Q3P3
contig_45	9998	10528	-	IKCLMC_00195	20.5	10.7	PF04352.18|ProQ	PFAM:PF04352.18
contig_45	11673	12689	-	IKCLMC_00197	36.8	5.1		
contig_45	14470	16686	+	IKCLMC_00199	81.8	5.3	PF07669.17|Eco57I	PFAM:PF07669.17
contig_45	22051	22203	+	IKCLMC_00202	6.0	10.0		
contig_45	22291	22452	+	IKCLMC_00203	6.4	10.8		
contig_45	22702	23229	+	IKCLMC_00205	19.9	9.6		
contig_45	23368	23523	+	IKCLMC_00206	5.8	4.4		
contig_45	27754	27894	+	IKCLMC_00213	5.1	6.5		
contig_45	28068	28376	+	IKCLMC_00214	11.7	9.4		
contig_46	9545	9763	+	IKCLMC_00227	7.8	8.0		SO:0001217, UniRef:UniRef50_A0A5U3I4D7
contig_46	21300	22067	+	IKCLMC_00243	28.4	11.0		
contig_46	28416	29021	-	IKCLMC_00251	22.8	11.8		
contig_46	29775	30182	+	IKCLMC_00253	14.5	5.9	PF24801.1|FNIII-A_GpJ	PFAM:PF24801.1
contig_47	18004	18141	+	IKCLMC_00272	5.4	6.1		
contig_47	18095	18439	+	IKCLMC_00273	12.8	9.7		SO:0001217, UniRef:UniRef50_A0A0T9RQT6
contig_48	3238	3900	-	IKCLMC_00288	25.9	9.3		SO:0001217, UniRef:UniRef50_C6CLL4
contig_48	19937	20944	+	IKCLMC_00320	37.2	9.0		
contig_48	22497	23039	+	IKCLMC_00323	18.2	4.7		
contig_48	27342	27584	+	IKCLMC_00330	9.4	4.1	PF06141.17|Phage_tail_U	PFAM:PF06141.17
contig_48	33218	33823	-	IKCLMC_00337	22.8	11.8		
contig_48	34577	34984	+	IKCLMC_00339	14.5	5.9	PF24801.1|FNIII-A_GpJ	PFAM:PF24801.1
contig_49	3	266	+	IKCLMC_00340	9.6	8.6		
contig_49	259	588	+	IKCLMC_00341	12.8	4.6		SO:0001217, UniRef:UniRef50_A0A637BJM9
contig_49	6053	6352	+	IKCLMC_00347	11.4	10.3		
contig_49	7053	7259	+	IKCLMC_00349	7.6	9.3		SO:0001217, UniRef:UniRef50_A0A5Y3PZV3
contig_49	7283	8353	+	IKCLMC_00350	42.5	9.2		SO:0001217, UniRef:UniRef50_A0A5Y3Q0J4
contig_49	8350	8565	+	IKCLMC_00351	8.3	9.4		
contig_49	8573	9601	+	IKCLMC_00352	38.6	9.4		
contig_49	9995	10153	+	IKCLMC_00354	5.8	9.4		SO:0001217, UniRef:UniRef50_A0A7M2QNJ6
contig_49	11321	11632	+	IKCLMC_00357	12.3	9.6		
contig_49	13537	14115	+	IKCLMC_00361	22.6	9.0		
contig_49	15146	15787	+	IKCLMC_00363	24.8	7.7		
contig_49	17567	18307	+	IKCLMC_00366	27.7	4.1		
contig_49	20120	20728	+	IKCLMC_00369	20.8	4.8		
contig_49	21319	24069	-	IKCLMC_00370	96.4	4.6	PF03212.20|Pertactin, PF03797.25|Autotransporter, PF16168.11|AIDA	PFAM:PF03212.20, PFAM:PF03797.25, PFAM:PF16168.11
contig_49	24859	25557	-	IKCLMC_00371	26.7	9.1		
contig_49	25593	28052	-	IKCLMC_00372	88.8	7.8	PF00145.23|DNA_methylase	PFAM:PF00145.23
contig_49	29689	30471	+	IKCLMC_00376	26.9	4.4		SO:0001217, UniRef:UniRef50_A0A6L7C9H5
contig_49	30951	31091	+	IKCLMC_00378	5.4	7.9		
contig_49	40978	41208	-	IKCLMC_00388	8.8	4.6		SO:0001217, UniRef:UniRef50_A0A5Y3PZR9
contig_49	41265	41600	-	IKCLMC_00389	11.7	5.6	PF21716.3|dnstrm_HI1420	PFAM:PF21716.3
contig_49	45614	46216	+	IKCLMC_00396	21.8	5.1		
contig_49	55961	56548	+	IKCLMC_00404	22.3	4.7		
contig_49	57137	58054	-	IKCLMC_00406	32.2	6.0	PF07484.17|Collar	PFAM:PF07484.17
contig_50	6210	6323	-	IKCLMC_00415	4.0	4.5		
contig_50	10490	10615	-	IKCLMC_00418	4.6	9.0		
contig_50	24714	24851	-	IKCLMC_00431	5.4	6.0		
contig_50	35601	35822	-	IKCLMC_00441	8.0	6.5		
contig_50	52529	52633	+	IKCLMC_00455	4.3	11.8		
contig_50	58857	59399	-	IKCLMC_00460	20.1	8.5	PF03925.18|SeqA, PF17206.9|SeqA_N	PFAM:PF03925.18, PFAM:PF17206.9
contig_51	14390	14938	-	IKCLMC_00491	19.6	4.9		
contig_51	18505	19935	-	IKCLMC_00497	54.6	5.5		
contig_51	43868	44119	+	IKCLMC_00521	9.6	8.8		
contig_51	44158	44250	+	IKCLMC_00522	3.5	8.4		
contig_52	1122	1364	+	IKCLMC_00571	8.6	9.6		
contig_52	37685	38473	+	IKCLMC_00604	29.6	9.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_52	71171	71338	+	IKCLMC_00641	5.7	10.5		
contig_52	71475	72113	+	IKCLMC_00642	23.8	9.1	PF00440.29|TetR_N, PF08362.16|TetR_C_3	PFAM:PF00440.29, PFAM:PF08362.16
contig_53	9255	9770	+	IKCLMC_00670	19.2	5.8		
contig_53	53439	53753	-	IKCLMC_00715	12.4	5.6	PF05336.19|rhaM	PFAM:PF05336.19
contig_53	80191	80541	-	IKCLMC_00742	13.0	5.7	PF02311.25|AraC_binding, PF07883.17|Cupin_2, PF16867.11|DMSP_lyase	PFAM:PF02311.25, PFAM:PF07883.17, PFAM:PF16867.11
contig_54	6797	7252	+	IKCLMC_00814	15.3	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_54	25515	26114	-	IKCLMC_00835	22.5	6.5	PF04399.18|Glutaredoxin2_C, PF13417.12|GST_N_3	PFAM:PF04399.18, PFAM:PF13417.12
contig_54	49359	49583	+	IKCLMC_00858	8.3	4.5		SO:0001217, UniRef:UniRef50_G5NAS5
contig_54	104334	107024	-	IKCLMC_00916	100.8	5.0	PF12684.13|DUF3799	PFAM:PF12684.13
contig_54	107165	107500	-	IKCLMC_00917	12.2	5.8		
contig_54	108290	108469	+	IKCLMC_00919	6.7	5.4		SO:0001217, UniRef:UniRef50_A0A5V1PH36
contig_54	108414	108602	-	IKCLMC_00920	7.1	8.1		SO:0001217, UniRef:UniRef50_A0A379S432
contig_54	109435	109689	+	IKCLMC_00922	9.6	9.5	PF01381.28|HTH_3	PFAM:PF01381.28
contig_54	111789	112082	+	IKCLMC_00925	11.2	9.6		
contig_54	112079	112351	+	IKCLMC_00926	10.2	5.4		
contig_54	113869	114063	+	IKCLMC_00931	7.7	9.5		
contig_54	115158	115469	+	IKCLMC_00937	11.8	9.5	PF10543.14|ORF6N	PFAM:PF10543.14
contig_54	116868	117086	+	IKCLMC_00942	7.9	6.9		SO:0001217, UniRef:UniRef50_A0A5U3I4D7
contig_54	118843	118941	+	IKCLMC_00946	3.9	8.3		
contig_54	119613	119801	+	IKCLMC_00948	6.7	4.1		
contig_54	122831	124351	+	IKCLMC_00952	57.0	4.8		
contig_54	135611	135913	+	IKCLMC_00967	11.5	5.2	PF22479.1|Pam3_gp18	PFAM:PF22479.1
contig_54	142485	142643	-	IKCLMC_00975	5.8	10.0		
contig_54	143000	143302	+	IKCLMC_00976	11.3	9.5	PF13384.12|HTH_23, PF13518.12|HTH_28, PF13551.12|HTH_29	PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13551.12
contig_54	143256	143516	+	IKCLMC_00977	10.2	10.9		
contig_54	149805	150011	-	IKCLMC_00984	8.1	9.5		SO:0001217, UniRef:UniRef50_A0A659M0N4
contig_54	157154	157327	-	IKCLMC_00995	6.5	11.0		
contig_54	158453	159496	+	IKCLMC_00997	38.8	6.2	PF13088.12|BNR_2	PFAM:PF13088.12
contig_54	160257	160571	-	IKCLMC_00999	10.6	8.5	PF13146.11|TRL	PFAM:PF13146.11
contig_54	167447	167773	+	IKCLMC_01006	12.1	5.1	PF03860.21|DUF326	PFAM:PF03860.21
contig_55	23862	24977	-	IKCLMC_01033	40.0	4.8		
contig_55	25388	25510	+	IKCLMC_01035	4.2	9.2		SO:0001217, UniRef:UniRef50_B5F1L8
contig_55	25491	27038	-	IKCLMC_01036	58.2	9.4		SO:0001217, UniRef:UniRef50_A0A7H0MG07
contig_55	43295	43540	+	IKCLMC_01055	7.5	5.8		
contig_55	62385	62513	+	IKCLMC_01072	5.0	8.5		
contig_55	163119	163325	+	IKCLMC_01149	8.2	10.2		
contig_55	164044	164223	+	IKCLMC_01150	6.5	6.5		
contig_55	164401	165045	+	IKCLMC_01151	25.3	8.7		
contig_55	165294	165584	-	IKCLMC_01152	11.3	9.4		
contig_56	8182	8706	+	IKCLMC_01196	19.6	11.4		
contig_56	11669	11929	+	IKCLMC_01201	9.3	4.3		
contig_56	16028	16633	-	IKCLMC_01205	22.8	11.8		
contig_56	20788	21030	+	IKCLMC_01208	8.6	9.3		
contig_56	25981	26166	-	IKCLMC_01213	7.4	11.8		
contig_56	81710	81886	-	IKCLMC_01265	6.5	10.9		SO:0001217, UniRef:UniRef50_A0A4Z0LFH4
contig_56	83956	84180	+	IKCLMC_01269	8.7	11.0		
contig_56	136397	136588	-	IKCLMC_01297	7.4	11.9		
contig_56	162155	162355	-	IKCLMC_01319	8.1	8.0		
contig_56	208529	208891	-	IKCLMC_01365	13.2	8.6		
contig_57	9466	10374	-	IKCLMC_01395	33.3	5.7		
contig_57	53047	53457	-	IKCLMC_01437	15.8	6.7		
contig_57	53590	53970	-	IKCLMC_01438	13.9	9.6	PF00126.33|HTH_1	PFAM:PF00126.33
contig_57	105534	105725	+	IKCLMC_01483	7.4	5.1		
contig_57	110094	110267	+	IKCLMC_01488	6.4	4.6	PF07995.17|GSDH	PFAM:PF07995.17
contig_57	137638	138153	-	IKCLMC_01519	18.8	5.9	PF12883.13|DUF3828	PFAM:PF12883.13
contig_57	158943	159410	-	IKCLMC_01537	17.0	10.8		
contig_57	185517	185684	-	IKCLMC_01559	6.8	10.0		
contig_57	231771	232010	-	IKCLMC_01595	8.7	10.4		
contig_57	236241	236396	-	IKCLMC_01598	6.0	8.5		
contig_57	236804	237136	-	IKCLMC_01599	12.4	5.4	PF01381.28|HTH_3	PFAM:PF01381.28
contig_57	237301	237555	+	IKCLMC_01600	9.6	9.5	PF01381.28|HTH_3	PFAM:PF01381.28
contig_58	8167	8493	-	IKCLMC_01611	13.3	10.0		
contig_58	24696	24791	-	IKCLMC_01624	3.7	6.0		SO:0001217, UniRef:UniRef50_A0A3S4H9S7
contig_58	29800	30084	+	IKCLMC_01630	10.2	4.2		
contig_58	107631	107837	-	IKCLMC_01705	7.4	6.0		SO:0001217, UniRef:UniRef50_A0A0F6B454
contig_58	112855	113160	+	IKCLMC_01710	11.4	5.1	PF05957.18|DUF883	PFAM:PF05957.18
contig_58	135904	136080	+	IKCLMC_01733	6.7	5.6		
contig_58	158345	161191	+	IKCLMC_01751	106.3	5.8	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c, PF09456.16|RcsC	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF09456.16
contig_58	177185	177634	+	IKCLMC_01767	16.4	6.9		
contig_58	180365	180538	+	IKCLMC_01772	6.2	11.9		
contig_58	187203	187994	+	IKCLMC_01781	27.8	5.0	PF03406.18|Phage_fiber_2	PFAM:PF03406.18
contig_58	195763	196047	-	IKCLMC_01788	10.5	9.5	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_58	198807	199997	+	IKCLMC_01791	43.3	9.8		
contig_58	214950	215057	+	IKCLMC_01805	4.2	9.3		
contig_58	268783	269250	+	IKCLMC_01855	17.7	9.2	PF07308.18|DUF1456	PFAM:PF07308.18, SO:0001217, UniRef:UniRef50_A0A0H2V0J0
contig_58	296104	296343	+	IKCLMC_01882	9.0	7.9		
contig_58	314491	314688	-	IKCLMC_01895	7.3	9.4		
contig_58	330702	331190	+	IKCLMC_01909	17.6	8.7	PF00132.30|Hexapep	PFAM:PF00132.30
contig_58	389455	389862	-	IKCLMC_01964	15.0	10.3		
contig_58	403815	404528	-	IKCLMC_01979	24.9	7.7		
contig_58	404525	405208	-	IKCLMC_01980	24.7	5.5		
contig_59	19190	19288	+	IKCLMC_02044	3.5	6.7		
contig_59	24193	24525	+	IKCLMC_02052	12.8	5.9	PF16695.10|Tai4	PFAM:PF16695.10
contig_59	47913	48800	+	IKCLMC_02074	31.8	8.2	PF05593.20|RHS_repeat	PFAM:PF05593.20
contig_59	48943	49245	-	IKCLMC_02075	11.5	9.4		
contig_59	52549	52827	+	IKCLMC_02081	11.0	9.4	PF13683.12|rve_3	PFAM:PF13683.12
contig_59	115308	117266	+	IKCLMC_02138	73.3	5.4	PF01555.25|N6_N4_Mtase, PF18273.6|T3RM_EcoP15I_C	PFAM:PF01555.25, PFAM:PF18273.6
contig_59	137144	138472	+	IKCLMC_02154	48.5	4.1		
contig_59	149693	150013	+	IKCLMC_02166	11.6	9.5	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_59	235923	236234	-	IKCLMC_02250	11.4	10.3	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_59	281614	281718	+	IKCLMC_02295	3.8	8.5		SO:0001217, UniRef:UniRef50_V1H4Y4
contig_59	324292	324600	-	IKCLMC_02338	11.5	4.7		
contig_59	327711	327896	-	IKCLMC_02343	7.3	9.6		
contig_59	328607	328822	-	IKCLMC_02345	8.2	5.7		SO:0001217, UniRef:UniRef50_A0A344SA91
contig_59	329382	329741	-	IKCLMC_02347	13.9	4.7		SO:0001217, UniRef:UniRef50_Q7Y3Y2
contig_59	329716	329853	-	IKCLMC_02348	5.1	5.0		
contig_59	332410	332517	-	IKCLMC_02354	4.1	4.1		
contig_59	332651	332815	-	IKCLMC_02356	6.2	10.4		
contig_59	334172	334759	+	IKCLMC_02358	22.7	6.3		
contig_59	337845	338060	+	IKCLMC_02363	7.5	10.2		
contig_59	342021	342197	+	IKCLMC_02371	6.5	4.2		
contig_59	343019	343222	+	IKCLMC_02374	7.9	9.6		
contig_59	343203	343382	+	IKCLMC_02375	6.9	6.1		
contig_59	346606	346824	+	IKCLMC_02381	8.2	4.3		SO:0001217, UniRef:UniRef50_UPI000F7F1A20
contig_59	351356	351865	+	IKCLMC_02386	19.8	6.3		
contig_59	353325	353753	+	IKCLMC_02388	15.1	5.9		
contig_59	354870	355097	+	IKCLMC_02390	7.9	6.2		
contig_59	355480	355755	+	IKCLMC_02392	9.7	4.5		SO:0001217, UniRef:UniRef50_A0A5Y2S2B8
contig_59	355926	356282	+	IKCLMC_02394	12.6	4.2		SO:0001217, UniRef:UniRef50_A0A4Y1NRE1
contig_59	365078	366967	+	IKCLMC_02403	66.6	5.4	PF18668.6|Tail_spike_N	PFAM:PF18668.6
contig_59	372262	372591	-	IKCLMC_02409	12.2	11.2	PF02518.31|HATPase_c, PF14501.12|HATPase_c_5	PFAM:PF02518.31, PFAM:PF14501.12
contig_59	383804	384172	-	IKCLMC_02419	14.2	8.6		
contig_59	463091	464086	-	IKCLMC_02496	38.0	5.9	PF08238.18|Sel1	PFAM:PF08238.18
contig_60	48903	49409	-	IKCLMC_02563	19.7	9.2		
contig_60	49601	49747	-	IKCLMC_02564	5.6	10.4	PF13356.12|Arm-DNA-bind_3	PFAM:PF13356.12
contig_60	83090	83263	+	IKCLMC_02592	6.2	11.9		
contig_60	100095	100928	-	IKCLMC_02611	29.2	9.7	PF00892.27|EamA	PFAM:PF00892.27
contig_60	115225	115314	-	IKCLMC_02628	3.3	6.5		
contig_60	140582	140713	-	IKCLMC_02650	4.9	5.8		
contig_60	252573	252671	-	IKCLMC_02753	3.5	5.5		
contig_60	283951	284142	-	IKCLMC_02784	7.3	11.0		
contig_60	285955	286158	+	IKCLMC_02786	7.6	4.7		
contig_60	343545	343880	+	IKCLMC_02831	12.6	6.9	PF01206.22|TusA	PFAM:PF01206.22
contig_60	362085	362453	+	IKCLMC_02850	13.6	6.3		
contig_60	371028	371999	-	IKCLMC_02859	34.4	9.3		
contig_60	380094	380414	-	IKCLMC_02869	12.1	10.9		
contig_60	409889	410239	+	IKCLMC_02895	13.3	4.8		
contig_60	477416	477658	+	IKCLMC_02951	8.8	5.9		
contig_60	489974	490102	+	IKCLMC_02967	4.6	9.7	PF00009.33|GTP_EFTU	PFAM:PF00009.33
contig_61	1929	2582	+	IKCLMC_02970	23.2	9.8		
contig_61	8648	8908	+	IKCLMC_02979	9.6	4.5		
contig_61	180211	181131	-	IKCLMC_03132	34.1	9.5	PF00226.36|DnaJ	PFAM:PF00226.36
contig_61	191745	191873	-	IKCLMC_03142	4.9	4.5		
contig_61	195045	195467	-	IKCLMC_03146	15.7	9.2		
contig_61	208657	209052	-	IKCLMC_03160	15.4	9.4		
contig_61	256429	256644	+	IKCLMC_03198	8.5	8.9		
contig_61	258910	259428	-	IKCLMC_03202	17.7	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_61	272396	272929	+	IKCLMC_03212	19.9	5.5	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_61	278183	278587	+	IKCLMC_03218	14.5	9.1		
contig_61	303118	303225	-	IKCLMC_03242	4.2	4.5		SO:0001217, UniRef:UniRef50_A0A2X4TXI3
contig_61	327487	328074	+	IKCLMC_03264	21.3	8.5	PF04055.27|Radical_SAM	PFAM:PF04055.27
contig_61	336263	336499	-	IKCLMC_03277	8.4	9.8		
contig_61	344126	344587	+	IKCLMC_03287	15.9	8.7		
contig_61	365939	366073	-	IKCLMC_03305	5.0	6.0		
contig_61	366198	366638	+	IKCLMC_03306	16.7	5.2		SO:0001217, UniRef:UniRef50_M7REC8
contig_61	367026	367364	+	IKCLMC_03308	12.5	5.1	PF22722.2|NA-iREase1	PFAM:PF22722.2
contig_61	374954	375118	-	IKCLMC_03313	6.8	10.5	PF06568.16|DUF1127	PFAM:PF06568.16
contig_61	387529	387975	-	IKCLMC_03324	16.6	9.3	PF05638.18|T6SS_HCP	PFAM:PF05638.18
contig_61	391061	391588	+	IKCLMC_03328	19.8	5.6	PF01738.24|DLH	PFAM:PF01738.24
contig_61	397723	397830	+	IKCLMC_03335	4.1	9.7		
contig_61	400320	400613	-	IKCLMC_03338	11.6	9.1		SO:0001217, UniRef:UniRef50_A0A0H3I2W8
contig_61	405196	406065	+	IKCLMC_03342	33.0	5.2		SO:0001217, UniRef:UniRef50_A0A616P6G1
contig_61	406153	406527	+	IKCLMC_03343	14.2	9.6		SO:0001217, UniRef:UniRef50_A0A617B451
contig_61	406524	406811	-	IKCLMC_03344	11.0	9.8		
contig_61	410547	411017	-	IKCLMC_03348	17.9	8.9		
contig_61	411852	412028	-	IKCLMC_03349	7.4	4.1		
contig_61	412076	412231	-	IKCLMC_03350	6.0	4.3		
contig_61	493538	494926	-	IKCLMC_03431	52.9	6.6	PF13644.11|DKNYY	PFAM:PF13644.11
contig_61	494941	496080	-	IKCLMC_03432	43.4	5.9	PF13644.11|DKNYY	PFAM:PF13644.11
contig_61	513140	514303	-	IKCLMC_03454	45.3	4.8	PF03738.19|GSP_synth	PFAM:PF03738.19
contig_61	527783	528091	-	IKCLMC_03469	11.1	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_61	535601	535681	+	IKCLMC_03476	3.1	9.1		
contig_62	54502	55254	+	IKCLMC_03526	28.9	4.7	PF06877.16|RraB	PFAM:PF06877.16
contig_62	91871	92158	-	IKCLMC_03564	10.9	10.2	PF13693.12|HTH_35	PFAM:PF13693.12
contig_62	98148	98249	+	IKCLMC_03571	3.7	6.5		
contig_62	184205	184849	-	IKCLMC_03658	24.0	7.0	PF03551.20|PadR	PFAM:PF03551.20
contig_62	224826	225065	+	IKCLMC_03698	9.6	10.7		
contig_62	225032	225484	+	IKCLMC_03699	16.8	5.8	PF06445.20|GyrI-like, PF14526.11|Cass2	PFAM:PF06445.20, PFAM:PF14526.11
contig_62	248836	250479	+	IKCLMC_03723	58.9	5.5	PF00672.30|HAMP, PF02203.21|TarH	PFAM:PF00672.30, PFAM:PF02203.21
contig_62	270777	271655	+	IKCLMC_03742	33.1	5.9		
contig_62	309491	309946	-	IKCLMC_03784	17.7	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_62	356776	356967	+	IKCLMC_03827	6.6	4.1		SO:0001217, UniRef:UniRef50_A0A659S1Q6
contig_62	369977	370252	+	IKCLMC_03846	10.1	9.4		
contig_62	428742	428864	+	IKCLMC_03901	4.7	10.6		
contig_62	461536	461832	+	IKCLMC_03930	11.5	6.5	PF05016.21|ParE_toxin	PFAM:PF05016.21
contig_62	538044	538304	+	IKCLMC_04005	10.1	9.3		
contig_62	570738	571547	+	IKCLMC_04042	30.2	9.4		
contig_62	616013	616171	+	IKCLMC_04091	6.0	11.0		
contig_62	624126	624242	+	IKCLMC_04099	4.3	9.9		
contig_62	624250	624384	+	IKCLMC_04100	4.8	10.0		SO:0001217, UniRef:UniRef50_A0A379WNS4
contig_62	652979	653173	-	IKCLMC_04123	7.1	10.1		
contig_62	657183	657878	-	IKCLMC_04132	26.3	8.4	PF01935.23|DUF87	PFAM:PF01935.23
contig_62	702470	702730	-	IKCLMC_04168	10.4	10.7		
contig_63	12414	12599	+	IKCLMC_04184	7.0	5.8		
contig_63	21261	22484	-	IKCLMC_04198	42.0	4.9	PF02120.21|Flg_hook	PFAM:PF02120.21
contig_63	24316	25023	-	IKCLMC_04201	25.8	4.6		
contig_63	32626	32994	-	IKCLMC_04210	13.7	5.1		
contig_63	33416	34819	-	IKCLMC_04212	49.8	5.3	PF07196.18|Flagellin_IN	PFAM:PF07196.18
contig_63	48469	48753	+	IKCLMC_04229	10.7	4.9		
contig_63	51923	53191	-	IKCLMC_04233	44.8	9.6	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_63	75953	76732	+	IKCLMC_04257	30.5	5.5	PF07470.19|Glyco_hydro_88	PFAM:PF07470.19
contig_63	76784	77092	+	IKCLMC_04258	11.7	7.0	PF07470.19|Glyco_hydro_88	PFAM:PF07470.19
contig_63	91160	91447	-	IKCLMC_04274	11.1	9.6		SO:0001217, UniRef:UniRef50_A0A3V6WF38
contig_63	97136	98455	+	IKCLMC_04281	49.0	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_63	100083	100451	+	IKCLMC_04284	13.6	9.4		
contig_63	100385	100702	-	IKCLMC_04285	12.2	10.4		
contig_63	109290	109580	+	IKCLMC_04292	10.7	5.0		
contig_63	118489	118719	+	IKCLMC_04306	8.3	10.0		
contig_63	121081	123135	+	IKCLMC_04311	72.6	5.3	PF01661.27|Macro, PF07484.17|Collar	PFAM:PF01661.27, PFAM:PF07484.17
contig_63	124704	124826	+	IKCLMC_04312	4.6	6.7		
contig_63	128906	129016	+	IKCLMC_04318	4.2	9.7		
contig_63	132471	132935	-	IKCLMC_04322	17.4	5.4	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_63	132938	133192	-	IKCLMC_04323	9.6	6.9		
contig_63	138778	138951	+	IKCLMC_04327	6.3	8.9		
contig_63	139207	139683	-	IKCLMC_04328	17.4	9.6		
