Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
nrfD,nrfD,Protein NrfD,9,9,1.0,1,6450,,,,957,957,957.0,ONMMKP_02506,IKCLMC_01112,PKJKAM_01257,ODDLKH_00139,LNHIMF_04356,AJBGEP_04478,HFCAGB_04509,GEGEGB_04412,BEJGEH_04333
group_4661,,CRISPR-associated endonuclease Cas1 1,9,9,1.0,1,6446,,,,918,921,920.0,ONMMKP_03924,IKCLMC_03947,PKJKAM_02457,ODDLKH_03356,LNHIMF_02968,AJBGEP_03094,HFCAGB_03142,GEGEGB_02975,BEJGEH_02930
group_4659,,hypothetical protein;Ornithine decarboxylase;Constitutive ornithine decarboxylase,9,10,1.1111111111111112,1,6444,,,,816,2136,1915.8,ONMMKP_03734,IKCLMC_03762,PKJKAM_00050,ODDLKH_03540,LNHIMF_03152,AJBGEP_03279,HFCAGB_03335,GEGEGB_03182;GEGEGB_03181,BEJGEH_03122
thiH,thiH,2-iminoacetate synthase ThiH,9,9,1.0,1,6443,,,,1134,1134,1134.0,ONMMKP_02625,IKCLMC_00271,PKJKAM_00229,ODDLKH_00017,LNHIMF_04195,AJBGEP_04358,HFCAGB_04407,GEGEGB_03649,BEJGEH_04209
group_4658,ybdN,Uncharacterized protein YbdN,9,9,1.0,1,6441,,,,1236,1236,1236.0,ONMMKP_01548,IKCLMC_02446,PKJKAM_03095,ODDLKH_01093,LNHIMF_00747,AJBGEP_00628,HFCAGB_00693,GEGEGB_02380,BEJGEH_00613
group_4657,,L-lactate permease,9,9,1.0,1,6440,,,,1656,1656,1656.0,ONMMKP_03138,IKCLMC_02710,PKJKAM_03682,ODDLKH_04137,LNHIMF_03728,AJBGEP_03877,HFCAGB_03933,GEGEGB_04037,BEJGEH_03730
group_4656,,hypothetical protein;DUF4751 domain-containing protein,9,9,1.0,1,6439,,,,246,420,400.6666666666667,ONMMKP_02078,IKCLMC_03127,PKJKAM_02021,ODDLKH_00577,LNHIMF_00102,AJBGEP_00104,HFCAGB_00099,GEGEGB_00109,BEJGEH_00106
group_4654,,hypothetical protein;Autotransporter domain-containing esterase,9,10,1.1111111111111112,1,6437,,,,435,1971,1756.2,ONMMKP_01578,IKCLMC_02417,PKJKAM_03131,ODDLKH_01057,LNHIMF_00721,AJBGEP_00592,HFCAGB_00662;HFCAGB_00663,GEGEGB_02410,BEJGEH_00584
adeP,adeP,Adenine permease AdeP;adenine permease AdeP,9,9,1.0,1,6434,,,,1170,1338,1319.3333333333333,ONMMKP_02928,IKCLMC_02556,PKJKAM_03527,ODDLKH_04296,LNHIMF_03892,AJBGEP_04044,HFCAGB_04092,GEGEGB_03870,BEJGEH_03893
group_4650,,D-alanyl-D-alanine dipeptidase,9,9,1.0,1,6431,,,,399,399,399.0,ONMMKP_00445,IKCLMC_04592,PKJKAM_04595,ODDLKH_02084,LNHIMF_01659,AJBGEP_01686,HFCAGB_01683,GEGEGB_01589,BEJGEH_01475
thiF,thiF,Thiazole biosynthesis adenylyltransferase ThiF,9,9,1.0,1,6427,,,,759,759,759.0,ONMMKP_02623,IKCLMC_00268,PKJKAM_00226,ODDLKH_00020,LNHIMF_04198,AJBGEP_04361,HFCAGB_04410,GEGEGB_03647,BEJGEH_04212
nrdH,nrdH,Glutaredoxin-like protein NrdH,9,9,1.0,1,6425,,,,246,246,246.0,ONMMKP_04062,IKCLMC_04081,PKJKAM_02596,ODDLKH_03220,LNHIMF_02834,AJBGEP_02957,HFCAGB_03006,GEGEGB_02842,BEJGEH_02788
sopA,;sopA,hypothetical protein;SPI-1 type III secretion system effector HECT-type E3 ubiquitin transferase SopA;E3 ubiquitin-protein ligase SopA;type III secretion system effector SopA HECT-like E3 ubiquitin ligase,9,13,1.4444444444444444,1,6422,,,,159,2349,1532.5384615384614,ONMMKP_04765;ONMMKP_04766,IKCLMC_01963;IKCLMC_01964,PKJKAM_04106,ODDLKH_02557,LNHIMF_02142,AJBGEP_02224,HFCAGB_02323,GEGEGB_00856;GEGEGB_00857;GEGEGB_00855,BEJGEH_02083
group_4641,,Inner membrane protein,9,9,1.0,1,6418,,,,339,339,339.0,ONMMKP_02533,IKCLMC_01085,PKJKAM_01284,ODDLKH_00112,LNHIMF_04328,AJBGEP_04451,HFCAGB_04482,GEGEGB_04384,BEJGEH_04306
group_4640,,STMF1-40 protein;hypothetical protein;Cytoplasmic protein,9,12,1.3333333333333333,1,6416,,,,123,450,288.75,ONMMKP_02627,IKCLMC_00272;IKCLMC_00273,PKJKAM_00231,ODDLKH_00016;ODDLKH_00015,LNHIMF_04194,AJBGEP_04356,HFCAGB_04405,GEGEGB_03651,BEJGEH_04207;BEJGEH_04206
group_4637,,GCN5-related N-acetyltransferase,9,9,1.0,1,6413,,,,420,420,420.0,ONMMKP_00177,IKCLMC_04321,PKJKAM_04324,ODDLKH_02346,LNHIMF_01925,AJBGEP_01951,HFCAGB_01416,GEGEGB_01081,BEJGEH_01198
sthE,;sthE,hypothetical protein;fimbrial major subunit SthE,9,10,1.1111111111111112,1,6410,,,,465,1086,981.0,ONMMKP_02186,IKCLMC_03237,PKJKAM_02132,ODDLKH_00467,LNHIMF_04644,AJBGEP_04795,HFCAGB_04818,GEGEGB_04878;GEGEGB_04879,BEJGEH_04684
group_4635,,hypothetical protein;Putative hydroxymethyltransferase,9,10,1.1111111111111112,1,6409,,,,1092,2997,2693.1,ONMMKP_02158,IKCLMC_03209,PKJKAM_02103,ODDLKH_00495,LNHIMF_00020,AJBGEP_00020,HFCAGB_00021,GEGEGB_00020;GEGEGB_00021,BEJGEH_00021
group_4630,,Integral membrane protein,9,9,1.0,1,6404,,,,522,654,536.6666666666666,ONMMKP_01303,IKCLMC_01425,PKJKAM_01104,ODDLKH_01299,LNHIMF_00937,AJBGEP_00835,HFCAGB_00887,GEGEGB_02188,BEJGEH_00808
cbiN,;cbiN,hypothetical protein;Cobalt transport protein CbiN,9,9,1.0,1,6401,,,,282,294,283.3333333333333,ONMMKP_04812,IKCLMC_02010,PKJKAM_04151,ODDLKH_02512,LNHIMF_02097,AJBGEP_02179,HFCAGB_02278,GEGEGB_00904,BEJGEH_02038
group_4626,,hypothetical protein;Ribonuclease I,9,10,1.1111111111111112,1,6399,,,,387,807,723.6,ONMMKP_01535,IKCLMC_02459,PKJKAM_03082,ODDLKH_01106,LNHIMF_00760,AJBGEP_00641,HFCAGB_00707;HFCAGB_00708,GEGEGB_02365,BEJGEH_00626
group_4623,,hypothetical protein;Sugar porter family MFS transporter,9,9,1.0,1,6395,,,,255,999,833.6666666666666,ONMMKP_02675,IKCLMC_00775,PKJKAM_01397,ODDLKH_04553,LNHIMF_04147,AJBGEP_04303,HFCAGB_04348,GEGEGB_03701,BEJGEH_04159
group_4619,gntR;,Transcriptional regulator GntR family domain / Aspartate aminotransferase;hypothetical protein;HTH gntR-type domain-containing protein,9,10,1.1111111111111112,1,6391,,,,408,1335,1188.9,ONMMKP_04064,IKCLMC_04083,PKJKAM_02598,ODDLKH_03218,LNHIMF_02832,AJBGEP_02955,HFCAGB_03004,GEGEGB_02839;GEGEGB_02840,BEJGEH_02786
pagD,pagD,Virulence protein PagD;virulence protein PagD,9,9,1.0,1,6390,,,,264,264,264.0,ONMMKP_00888,IKCLMC_00989,PKJKAM_00517,ODDLKH_01717,LNHIMF_01289,AJBGEP_01320,HFCAGB_02049,GEGEGB_01183,BEJGEH_01845
group_4618,,Putative inner membrane protein,9,9,1.0,1,6389,,,,345,345,345.0,ONMMKP_00409,IKCLMC_04560,PKJKAM_04563,ODDLKH_02116,LNHIMF_01689,AJBGEP_01718,HFCAGB_01650,GEGEGB_01614,BEJGEH_01440
group_4617,,hypothetical protein,9,9,1.0,1,6388,,,,528,528,528.0,ONMMKP_00520,IKCLMC_04663,PKJKAM_04670,ODDLKH_02008,LNHIMF_01580,AJBGEP_01610,HFCAGB_01746,GEGEGB_01524,BEJGEH_01556
sptP~~~sicP,sptP;sicP,chaparone for SptP,9,9,1.0,1,6387,,,,393,393,393.0,ONMMKP_03983,IKCLMC_04006,PKJKAM_02518,ODDLKH_03297,LNHIMF_02912,AJBGEP_03035,HFCAGB_03084,GEGEGB_02919,BEJGEH_02866
papD~~~safB,papD;safB;,Pili assembly chaperone PapD;pili assembly chaperone SafB;hypothetical protein,9,9,1.0,1,6386,,,,513,741,661.3333333333334,ONMMKP_01865,IKCLMC_02084,PKJKAM_03459,ODDLKH_00788,LNHIMF_00317,AJBGEP_00319,HFCAGB_00318,GEGEGB_02690,BEJGEH_00307
group_4616,,CaiF/GrlA family transcriptional regulator,9,9,1.0,1,6385,,,,507,513,509.0,ONMMKP_03824,IKCLMC_03853,PKJKAM_02358,ODDLKH_03451,LNHIMF_03063,AJBGEP_03188,HFCAGB_03243,GEGEGB_03085,BEJGEH_03031
cyaY,cyaY,Iron-sulfur cluster assembly protein CyaY,9,9,1.0,1,6384,,,,321,321,321.0,ONMMKP_02840,IKCLMC_00524,PKJKAM_01560,ODDLKH_04386,LNHIMF_03984,AJBGEP_04136,HFCAGB_04181,GEGEGB_03530,BEJGEH_03988
group_4614,,Transmembrane regulator,9,9,1.0,1,6382,,,,744,744,744.0,ONMMKP_01813,IKCLMC_02126,PKJKAM_03413,ODDLKH_00830,LNHIMF_00372,AJBGEP_00364,HFCAGB_00364,GEGEGB_02647,BEJGEH_00353
group_4613,,hypothetical protein;Inner membrane protein,9,10,1.1111111111111112,1,6381,,,,213,549,442.8,ONMMKP_01811;ONMMKP_01812,IKCLMC_02127,PKJKAM_03412,ODDLKH_00831,LNHIMF_00373,AJBGEP_00365,HFCAGB_00365,GEGEGB_02646,BEJGEH_00354
yfdX,yfdX,YfdX,9,9,1.0,1,6377,,,,633,633,633.0,ONMMKP_03819,IKCLMC_03848,PKJKAM_02353,ODDLKH_03456,LNHIMF_03068,AJBGEP_03193,HFCAGB_03248,GEGEGB_03090,BEJGEH_03039
group_4609,,Ornithine decarboxylase;hypothetical protein,9,11,1.2222222222222223,1,6376,,,,279,2199,1772.4545454545455,ONMMKP_01452,IKCLMC_00456,PKJKAM_00414,ODDLKH_01193,LNHIMF_00841,AJBGEP_00726,HFCAGB_00796,GEGEGB_02287;GEGEGB_02288;GEGEGB_02286,BEJGEH_00714
group_4608,,Fimbrial subunit,9,9,1.0,1,6375,,,,558,558,558.0,ONMMKP_02185,IKCLMC_03236,PKJKAM_02131,ODDLKH_00468,LNHIMF_04645,AJBGEP_04796,HFCAGB_04819,GEGEGB_04880,BEJGEH_04685
group_4606,,hypothetical protein,9,9,1.0,1,6372,,,,477,477,477.0,ONMMKP_00178,IKCLMC_04328,PKJKAM_04331,ODDLKH_02345,LNHIMF_01924,AJBGEP_01950,HFCAGB_01417,GEGEGB_01082,BEJGEH_01208
sopE2~~~sopE,sopE2;sopE,SPI-1 type III secretion system guanine nucleotide exchange factor SopE2;Guanine nucleotide exchange factor sopE,9,9,1.0,1,6371,,,,465,723,665.6666666666666,ONMMKP_00180,IKCLMC_04330,PKJKAM_04333,ODDLKH_02343,LNHIMF_01922,AJBGEP_01948,HFCAGB_01419,GEGEGB_01084,BEJGEH_01210
group_4603,,hypothetical protein;Exported protein,9,10,1.1111111111111112,1,6368,,,,267,501,455.4,ONMMKP_01815,IKCLMC_02124,PKJKAM_03415,ODDLKH_00828,LNHIMF_00370,AJBGEP_00362,HFCAGB_00362,GEGEGB_02649;GEGEGB_02650,BEJGEH_00351
group_4602,,non-specific acid phosphatase,9,9,1.0,1,6367,,,,753,753,753.0,ONMMKP_02463,IKCLMC_01154,PKJKAM_01216,ODDLKH_00192,LNHIMF_04410,AJBGEP_04517,HFCAGB_04548,GEGEGB_04453,BEJGEH_04377
group_4599,,Inner membrane protein,9,9,1.0,1,6364,,,,474,474,474.0,ONMMKP_03341,IKCLMC_02921,PKJKAM_03885,ODDLKH_03927,LNHIMF_03535,AJBGEP_03665,HFCAGB_03719,GEGEGB_04235,BEJGEH_03516
group_4598,,Membrane-bound metal-dependent hydrolase,9,9,1.0,1,6363,,,,546,549,546.3333333333334,ONMMKP_01611,IKCLMC_02327,PKJKAM_03213,ODDLKH_01029,LNHIMF_00549,AJBGEP_00563,HFCAGB_00568,GEGEGB_02439,BEJGEH_00554
group_4597,,Sodium:galactoside symporter;hypothetical protein;MFS transporter,9,10,1.1111111111111112,1,6362,,,,333,1335,1201.5,ONMMKP_02715,IKCLMC_00737,PKJKAM_01435,ODDLKH_04515,LNHIMF_04110,AJBGEP_04265,HFCAGB_04310,GEGEGB_03739;GEGEGB_03740,BEJGEH_04121
group_4596,,Putative chemotaxis signal transduction protein,9,9,1.0,1,6361,,,,1002,1005,1003.3333333333334,ONMMKP_04519,IKCLMC_01707,PKJKAM_02970,ODDLKH_02815,LNHIMF_02447,AJBGEP_02481,HFCAGB_02573,GEGEGB_00589,BEJGEH_02337
pduP,;pduP,hypothetical protein;CoA-acylating propionaldehyde dehydrogenase PduP,9,10,1.1111111111111112,1,6360,,,,684,1395,1255.8,ONMMKP_04781,IKCLMC_01980;IKCLMC_01979,PKJKAM_04121,ODDLKH_02542,LNHIMF_02127,AJBGEP_02209,HFCAGB_02308,GEGEGB_00873,BEJGEH_02068
waaO,waaO,Lipopolysaccharide glucosyltransferase WaaO,9,9,1.0,1,6357,,,,1014,1023,1022.0,ONMMKP_03111,IKCLMC_02683,PKJKAM_03655,ODDLKH_04164,LNHIMF_03752,AJBGEP_03904,HFCAGB_03961,GEGEGB_04009,BEJGEH_03757
steD,steD;,type III secretion system effector SteD;Inner membrane protein,9,9,1.0,1,6356,,,,336,336,336.0,ONMMKP_04689,IKCLMC_01874,PKJKAM_04004,ODDLKH_02636,LNHIMF_02282,AJBGEP_02302,HFCAGB_02403,GEGEGB_00763,BEJGEH_02172
group_4593,,hypothetical protein;Lipoprotein,9,9,1.0,1,6355,,,,759,846,836.3333333333334,ONMMKP_00368,IKCLMC_04519,PKJKAM_04522,ODDLKH_02156,LNHIMF_01731,AJBGEP_01758,HFCAGB_01608,GEGEGB_01662,BEJGEH_01398
yiiG,yiiG,Uncharacterized protein YiiG,9,9,1.0,1,6353,,,,1068,1101,1097.3333333333333,ONMMKP_02742,IKCLMC_00710,PKJKAM_01462,ODDLKH_04488,LNHIMF_04082,AJBGEP_04238,HFCAGB_04283,GEGEGB_03768,BEJGEH_04094
group_4589,torR,Periplasmic sensor in multi-comopnent regulatory system with TorS (Sensory kinase) and TorR (Regulator),9,9,1.0,1,6350,,,,1041,1041,1041.0,ONMMKP_03006,IKCLMC_02583,PKJKAM_03550,ODDLKH_04273,LNHIMF_03870,AJBGEP_04014,HFCAGB_04069,GEGEGB_03891,BEJGEH_03873
ycaQ,;ycaQ,hypothetical protein;Uncharacterized protein YcaQ,9,10,1.1111111111111112,1,6349,,,,450,1233,1103.7,ONMMKP_01158,IKCLMC_01574,PKJKAM_00962,ODDLKH_01441,LNHIMF_01073,AJBGEP_00978,HFCAGB_01030,GEGEGB_02051;GEGEGB_02052,BEJGEH_00943
group_4585,,4-aminobutyrate--2-oxoglutarate transaminase;hypothetical protein;4-aminobutyrate aminotransferase,9,10,1.1111111111111112,1,6345,,,,279,1284,1155.0,ONMMKP_04076,IKCLMC_04095,PKJKAM_02610,ODDLKH_03206,LNHIMF_02820,AJBGEP_02943,HFCAGB_02991;HFCAGB_02992,GEGEGB_02825,BEJGEH_02774
rihC,rihC,Non-specific ribonucleoside hydrolase RihC,9,9,1.0,1,6341,,,,921,921,921.0,ONMMKP_02126,IKCLMC_03176,PKJKAM_02070,ODDLKH_00528,LNHIMF_00053,AJBGEP_00053,HFCAGB_00055,GEGEGB_00056,BEJGEH_00054
siiE,;siiE,Large repetitive protein;Ig domain protein;non-fimbrial adhesin SiiE,9,10,1.1111111111111112,1,6340,,,,6774,16686,15011.4,ONMMKP_02525,IKCLMC_01093,PKJKAM_01276,ODDLKH_00120,LNHIMF_04337,AJBGEP_04459,HFCAGB_04490,GEGEGB_04392;GEGEGB_04393,BEJGEH_04314
group_4571,dsbE,Thiol:disulfide interchange protein DsbE,9,9,1.0,1,6329,,,,558,558,558.0,ONMMKP_03018,IKCLMC_02595,PKJKAM_03562,ODDLKH_04261,LNHIMF_03858,AJBGEP_04002,HFCAGB_04057,GEGEGB_03904,BEJGEH_03861
group_4570,ccmE,Cytochrome c-type biogenesis protein CcmE,9,9,1.0,1,6328,,,,480,501,482.3333333333333,ONMMKP_03016,IKCLMC_02593,PKJKAM_03560,ODDLKH_04263,LNHIMF_03860,AJBGEP_04004,HFCAGB_04059,GEGEGB_03902,BEJGEH_03863
dsbE,dsbE,Thiol:disulfide interchange protein DsbE,9,9,1.0,1,6327,,,,558,558,558.0,ONMMKP_04587,IKCLMC_01775,PKJKAM_03038,ODDLKH_02747,LNHIMF_02377,AJBGEP_02413,HFCAGB_02505,GEGEGB_00661,BEJGEH_02269
ccmE,ccmE,Cytochrome c-type biogenesis protein CcmE,9,9,1.0,1,6326,,,,480,501,482.3333333333333,ONMMKP_04585,IKCLMC_01773,PKJKAM_03036,ODDLKH_02749,LNHIMF_02379,AJBGEP_02415,HFCAGB_02507,GEGEGB_00659,BEJGEH_02271
group_4568,gtrB;,bactoprenol glucosyl transferase;Glycosyltransferase 2-like domain-containing protein,9,9,1.0,1,6324,,,,921,927,925.6666666666666,ONMMKP_01590,IKCLMC_02406,PKJKAM_03142,ODDLKH_01046,LNHIMF_00708,AJBGEP_00581,HFCAGB_00650,GEGEGB_02422,BEJGEH_00571
group_4567,,Oxaloacetate decarboxylase alpha subunit,9,9,1.0,1,6323,,,,1770,1776,1773.3333333333333,ONMMKP_03480,IKCLMC_03517,PKJKAM_01691,ODDLKH_03786,LNHIMF_03396,AJBGEP_03523,HFCAGB_03578,GEGEGB_03437,BEJGEH_03374
nodT,;nodT,hypothetical protein;RND efflux system outer membrane lipoprotein NodT family,9,9,1.0,1,6316,,,,1206,1437,1411.3333333333333,ONMMKP_04654,IKCLMC_01840,PKJKAM_03970,ODDLKH_02670,LNHIMF_02316,AJBGEP_02336,HFCAGB_02437,GEGEGB_00728,BEJGEH_02206
